Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,001,World,5312,Area harvested,0115,Barley,2023,2023,ha,46254750,A,Official figure,
QCL,Crops and livestock products,001,World,5510,Production,0115,Barley,2023,2023,t,145759524.5,A,Official figure,
QCL,Crops and livestock products,001,World,5312,Area harvested,01192,Buckwheat,2023,2023,ha,2187546,E,Estimated value,
QCL,Crops and livestock products,001,World,5510,Production,01192,Buckwheat,2023,2023,t,2204015.23,E,Estimated value,
QCL,Crops and livestock products,001,World,5312,Area harvested,01195,Canary seed,2023,2023,ha,243463,E,Estimated value,
QCL,Crops and livestock products,001,World,5510,Production,01195,Canary seed,2023,2023,t,198894.21,E,Estimated value,
QCL,Crops and livestock products,001,World,5312,Area harvested,01193,Fonio,2023,2023,ha,927798,E,Estimated value,
QCL,Crops and livestock products,001,World,5510,Production,01193,Fonio,2023,2023,t,689223.75,E,Estimated value,
QCL,Crops and livestock products,001,World,5312,Area harvested,0112,Maize (corn),2023,2023,ha,208234140,E,Estimated value,
QCL,Crops and livestock products,001,World,5510,Production,0112,Maize (corn),2023,2023,t,1241557811,E,Estimated value,
QCL,Crops and livestock products,001,World,5312,Area harvested,0118,Millet,2023,2023,ha,31332668,E,Estimated value,
QCL,Crops and livestock products,001,World,5510,Production,0118,Millet,2023,2023,t,31596316.41,E,Estimated value,
QCL,Crops and livestock products,001,World,5312,Area harvested,01199.02,Mixed grain,2023,2023,ha,561721,A,Official figure,
QCL,Crops and livestock products,001,World,5510,Production,01199.02,Mixed grain,2023,2023,t,1772295.22,A,Official figure,
QCL,Crops and livestock products,001,World,5312,Area harvested,0117,Oats,2023,2023,ha,8024447,A,Official figure,
QCL,Crops and livestock products,001,World,5510,Production,0117,Oats,2023,2023,t,18776750.11,A,Official figure,
QCL,Crops and livestock products,001,World,5312,Area harvested,01194,Quinoa,2023,2023,ha,165838,A,Official figure,
QCL,Crops and livestock products,001,World,5510,Production,01194,Quinoa,2023,2023,t,112250.57,A,Official figure,
QCL,Crops and livestock products,001,World,5312,Area harvested,0113,Rice,2023,2023,ha,168356566,E,Estimated value,
QCL,Crops and livestock products,001,World,5510,Production,0113,Rice,2023,2023,t,799999504.9,A,Official figure,
QCL,Crops and livestock products,001,World,5312,Area harvested,0116,Rye,2023,2023,ha,3981421,A,Official figure,
QCL,Crops and livestock products,001,World,5510,Production,0116,Rye,2023,2023,t,12680515.49,A,Official figure,
QCL,Crops and livestock products,001,World,5312,Area harvested,0114,Sorghum,2023,2023,ha,39851368,E,Estimated value,
QCL,Crops and livestock products,001,World,5510,Production,0114,Sorghum,2023,2023,t,57298318.42,E,Estimated value,
QCL,Crops and livestock products,001,World,5312,Area harvested,01191,Triticale,2023,2023,ha,3598676,A,Official figure,
QCL,Crops and livestock products,001,World,5510,Production,01191,Triticale,2023,2023,t,13803611.73,A,Official figure,
QCL,Crops and livestock products,001,World,5312,Area harvested,0111,Wheat,2023,2023,ha,220407070,E,Estimated value,
QCL,Crops and livestock products,001,World,5510,Production,0111,Wheat,2023,2023,t,798975306.4,A,Official figure,
